index_code,date,open,close,low,high,volume,money,change,label
sh000001,1990/12/20,104.3,104.39,99.98,104.39,197000,85000,0.044108822,109.13
sh000001,1990/12/21,109.07,109.13,103.73,109.13,28000,16100,0.045406648,114.55
sh000001,1990/12/24,113.57,114.55,109.13,114.55,32000,31100,0.049665537,120.25
sh000001,1990/12/25,120.09,120.25,114.55,120.25,15000,6500,0.04975993,125.27
sh000001,1990/12/26,125.27,125.27,120.25,125.27,100000,53700,0.041746362,125.28
sh000001,1990/12/27,125.27,125.28,125.27,125.28,66000,104600,7.98E-05,126.45
sh000001,1990/12/28,126.39,126.45,125.28,126.45,108000,88000,0.00933908,127.61
sh000001,1990/12/31,126.56,127.61,126.48,127.61,78000,60000,0.009173586,128.84
sh000001,1991/1/2,127.61,128.84,127.61,128.84,91000,59100,0.009638743,130.14
sh000001,1991/1/3,128.84,130.14,128.84,130.14,141000,93900,0.010090034,131.44
sh000001,1991/1/4,131.27,131.44,130.14,131.44,420000,261900,0.009989242,132.06
sh000001,1991/1/7,131.99,132.06,131.45,132.06,217000,141700,0.004716981,132.68
sh000001,1991/1/8,132.62,132.68,132.06,132.68,2926000,1806900,0.004694836,133.34
sh000001,1991/1/9,133.3,133.34,132.68,133.34,5603000,3228700,0.004974374,133.97
sh000001,1991/1/10,133.93,133.97,133.34,133.97,9990000,5399500,0.004724764,134.61
sh000001,1991/1/11,134.61,134.6,134.51,134.61,13327000,7115700,0.004702545,135.19
sh000001,1991/1/14,134.11,134.67,134.11,135.19,12530000,6883600,0.000520059,134.74
sh000001,1991/1/15,134.21,134.74,134.19,134.74,1446000,1010400,0.000519789,134.74
sh000001,1991/1/16,134.19,134.24,134.14,134.74,509000,270100,-0.003710851,134.25
sh000001,1991/1/17,133.67,134.25,133.65,134.25,658000,334200,7.45E-05,134.25
sh000001,1991/1/18,133.7,134.24,133.67,134.25,3004000,1570800,-7.45E-05,134.24
sh000001,1991/1/21,133.7,134.24,133.66,134.24,2051000,1029300,0,134.24
sh000001,1991/1/22,133.72,133.72,133.66,134.24,354000,180800,-0.003873659,133.72
sh000001,1991/1/23,133.17,133.17,133.14,133.72,1095000,575900,-0.004113072,133.17
sh000001,1991/1/24,132.61,132.61,132.57,133.17,1857000,917400,-0.004205151,132.07
sh000001,1991/1/25,132.05,132.05,132.03,132.07,3447000,1722200,-0.004222909,131.55
